,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,Recall
y:label=0,956,0,0,2,0,10,4,2,6,0,0.9755
y:label=1,0,1110,3,1,0,2,5,0,14,0,0.9779
y:label=2,10,7,914,18,10,4,12,12,39,6,0.8856
y:label=3,4,3,13,913,5,24,4,11,24,9,0.9039
y:label=4,1,3,7,1,906,2,7,5,11,39,0.9226
y:label=5,9,4,4,31,11,777,14,6,29,7,0.8710
y:label=6,9,3,10,1,6,11,912,2,3,1,0.9519
y:label=7,0,4,24,6,11,1,0,938,2,42,0.9124
y:label=8,7,5,9,22,11,16,7,4,877,16,0.9004
y:label=9,10,5,3,14,27,7,0,20,8,915,0.9068
Precision,0.9502,0.9702,0.9260,0.9048,0.9179,0.9098,0.9450,0.938,0.8657,0.8840,
F-Measures,0.9626,0.9740,0.9053,0.9043,0.9202,0.8899,0.9484,0.9250,0.8827,0.8952,
,,,,,,,,,,,
Accuracy,0.9218,,,,,,,,,,
Avg.Precision,0.9212,,,,,,,,,,
Avg.Recall,0.9208,,,,,,,,,,
Avg.F-Measures,0.9208,,,,,,,,,,
