,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,Recall
y:label=0,975,0,0,1,0,0,3,0,1,0,0.9948
y:label=1,0,1130,3,0,0,0,0,0,2,0,0.9955
y:label=2,2,1,1017,0,2,0,0,5,5,0,0.9854
y:label=3,2,0,2,992,0,5,0,6,3,0,0.9821
y:label=4,0,1,2,1,967,0,3,1,1,6,0.9847
y:label=5,2,0,0,8,0,875,1,0,5,1,0.9809
y:label=6,5,3,1,0,1,4,942,0,2,0,0.9832
y:label=7,0,4,9,1,1,1,0,1007,1,4,0.9795
y:label=8,6,1,4,2,3,3,3,3,938,11,0.9630
y:label=9,3,5,1,4,8,2,0,8,2,976,0.9672
Precision,0.9798,0.9868,0.9788,0.9831,0.9847,0.9831,0.9894,0.9776,0.9770,0.9779,
F-Measures,0.9872,0.9911,0.9820,0.9825,0.9847,0.9819,0.9862,0.9785,0.9699,0.9725,
,,,,,,,,,,,
Accuracy,0.9819,,,,,,,,,,
Avg.Precision,0.9818,,,,,,,,,,
Avg.Recall,0.9817,,,,,,,,,,
Avg.F-Measures,0.9817,,,,,,,,,,
