,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,Recall
y:label=0,964,0,3,2,0,7,2,1,0,1,0.9836
y:label=1,0,1113,4,4,2,2,5,0,5,0,0.9806
y:label=2,6,2,961,13,12,3,4,17,11,3,0.9312
y:label=3,1,0,8,970,0,16,0,8,7,0,0.9603
y:label=4,1,0,6,3,932,0,2,9,10,19,0.9490
y:label=5,7,0,2,8,3,847,8,4,12,1,0.9495
y:label=6,8,4,4,2,6,8,920,0,6,0,0.9603
y:label=7,0,6,16,9,13,0,0,966,3,15,0.9396
y:label=8,8,1,2,9,6,4,3,2,928,11,0.9527
y:label=9,8,4,2,4,20,5,0,18,6,942,0.9335
Precision,0.9611,0.9849,0.9533,0.9472,0.9376,0.9495,0.9745,0.9424,0.9392,0.9495,
F-Measures,0.9722,0.9827,0.9421,0.9537,0.9432,0.9495,0.9673,0.9409,0.9459,0.9414,
,,,,,,,,,,,
Accuracy,0.9543,,,,,,,,,,
Avg.Precision,0.9539,,,,,,,,,,
Avg.Recall,0.9540,,,,,,,,,,
Avg.F-Measures,0.9539,,,,,,,,,,
