,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,Recall
y:label=0,976,0,1,0,0,0,2,1,0,0,0.9959
y:label=1,1,1129,1,0,0,1,1,2,0,0,0.9947
y:label=2,4,3,1016,1,0,0,1,6,1,0,0.9844
y:label=3,1,0,3,975,0,15,0,6,7,3,0.9653
y:label=4,1,1,0,0,972,0,1,0,0,7,0.9898
y:label=5,2,0,1,1,0,877,4,0,5,2,0.9831
y:label=6,3,2,0,1,1,3,947,0,1,0,0.9885
y:label=7,0,3,4,0,1,0,0,1014,1,5,0.9863
y:label=8,4,0,2,1,0,1,2,4,957,3,0.9825
y:label=9,1,6,1,0,6,4,1,3,2,985,0.9762
Precision,0.9828,0.9868,0.9873,0.9959,0.9918,0.9733,0.9874,0.9787,0.9825,0.9800,
F-Measures,0.9893,0.9907,0.9858,0.9803,0.9907,0.9781,0.9879,0.9824,0.9825,0.9780,
,,,,,,,,,,,
Accuracy,0.9848,,,,,,,,,,
Avg.Precision,0.9847,,,,,,,,,,
Avg.Recall,0.9847,,,,,,,,,,
Avg.F-Measures,0.9846,,,,,,,,,,
