,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,Recall
y:label=0,973,0,1,0,0,2,2,1,1,0,0.9928
y:label=1,0,1133,1,0,0,0,0,1,0,0,0.9982
y:label=2,2,1,1026,0,1,0,0,2,0,0,0.9941
y:label=3,1,0,1,1003,0,2,0,0,3,0,0.9930
y:label=4,0,0,1,0,969,0,2,1,2,7,0.9867
y:label=5,1,0,1,5,0,884,1,0,0,0,0.9910
y:label=6,2,2,0,1,1,4,944,0,4,0,0.9853
y:label=7,0,1,8,1,0,0,0,1013,3,2,0.9854
y:label=8,2,0,3,1,1,1,0,1,961,4,0.9866
y:label=9,0,1,1,0,2,4,0,5,1,995,0.9861
Precision,0.9918,0.9956,0.9837,0.9920,0.9948,0.9855,0.9947,0.9892,0.9856,0.9871,
F-Measures,0.9922,0.9968,0.9888,0.9924,0.9907,0.9882,0.9899,0.9872,0.9860,0.9865,
,,,,,,,,,,,
Accuracy,0.9901,,,,,,,,,,
Avg.Precision,0.9900,,,,,,,,,,
Avg.Recall,0.9899,,,,,,,,,,
Avg.F-Measures,0.9899,,,,,,,,,,
