,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,Recall
y:label=0,973,0,0,1,0,1,2,2,1,0,0.9928
y:label=1,0,1129,2,1,0,0,0,3,0,0,0.9947
y:label=2,0,2,1015,2,1,0,0,10,2,0,0.9835
y:label=3,1,0,0,1005,0,2,0,1,1,0,0.9950
y:label=4,0,0,0,0,973,0,1,0,3,5,0.9908
y:label=5,3,0,0,8,0,876,2,0,1,2,0.9820
y:label=6,4,2,0,0,2,1,947,0,2,0,0.9885
y:label=7,0,2,4,0,0,0,0,1019,0,3,0.9912
y:label=8,5,1,3,2,1,0,1,5,950,6,0.9753
y:label=9,0,5,0,1,7,4,1,4,1,986,0.9772
Precision,0.9868,0.9894,0.9912,0.9852,0.9888,0.9909,0.9926,0.9760,0.9885,0.9840,
F-Measures,0.9897,0.9920,0.9873,0.9900,0.9897,0.9864,0.9905,0.9835,0.9818,0.9805,
,,,,,,,,,,,
Accuracy,0.9873,,,,,,,,,,
Avg.Precision,0.9873,,,,,,,,,,
Avg.Recall,0.9871,,,,,,,,,,
Avg.F-Measures,0.9872,,,,,,,,,,
