,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,Recall
y:label=0,963,0,2,1,0,5,5,3,1,0,0.9826
y:label=1,0,1113,4,1,0,1,4,2,10,0,0.9806
y:label=2,4,8,932,15,10,3,10,10,36,4,0.9031
y:label=3,3,1,20,923,0,24,2,10,18,9,0.9138
y:label=4,1,3,8,0,919,0,8,6,8,29,0.9358
y:label=5,8,2,5,37,8,777,11,6,32,6,0.8710
y:label=6,13,3,9,1,7,11,910,2,2,0,0.9498
y:label=7,1,7,22,6,5,0,0,952,2,33,0.9260
y:label=8,8,10,6,23,10,25,10,10,860,12,0.8829
y:label=9,11,8,1,11,23,5,0,21,6,923,0.9147
Precision,0.9515,0.9636,0.9236,0.9066,0.9358,0.9130,0.9479,0.9315,0.8820,0.9084,
F-Measures,0.9667,0.9720,0.9132,0.9101,0.9358,0.8915,0.9488,0.9287,0.8824,0.9115,
,,,,,,,,,,,
Accuracy,0.9272,,,,,,,,,,
Avg.Precision,0.9264,,,,,,,,,,
Avg.Recall,0.9260,,,,,,,,,,
Avg.F-Measures,0.9261,,,,,,,,,,
