,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,Recall
y:label=0,971,0,1,0,0,0,3,1,4,0,0.9908
y:label=1,0,1133,0,0,0,0,1,1,0,0,0.9982
y:label=2,0,2,1014,2,2,0,1,7,4,0,0.9825
y:label=3,0,0,0,1005,0,3,0,0,2,0,0.9950
y:label=4,0,0,1,0,973,0,2,1,1,4,0.9908
y:label=5,2,0,0,8,0,880,1,1,0,0,0.9865
y:label=6,1,2,0,0,2,4,947,0,2,0,0.9885
y:label=7,0,3,5,2,0,1,0,1017,0,0,0.9892
y:label=8,3,0,2,1,1,2,0,3,959,3,0.9845
y:label=9,1,2,0,1,4,5,0,10,3,983,0.9742
Precision,0.9928,0.9921,0.9912,0.9862,0.9908,0.9832,0.9916,0.9769,0.9835,0.9929,
F-Measures,0.9917,0.9951,0.9868,0.9905,0.9908,0.9848,0.9900,0.9830,0.9839,0.9834,
,,,,,,,,,,,
Accuracy,0.9882,,,,,,,,,,
Avg.Precision,0.9881,,,,,,,,,,
Avg.Recall,0.9880,,,,,,,,,,
Avg.F-Measures,0.9880,,,,,,,,,,
