,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,Recall
y:label=0,955,0,0,1,0,5,8,7,3,1,0.9744
y:label=1,0,1119,4,1,1,1,5,0,4,0,0.9859
y:label=2,10,1,947,12,13,5,6,10,23,5,0.9176
y:label=3,0,0,14,927,2,12,4,14,30,7,0.9178
y:label=4,2,2,9,2,924,1,9,5,5,23,0.9409
y:label=5,4,1,0,30,7,795,21,5,25,4,0.8912
y:label=6,10,5,5,0,8,16,911,1,2,0,0.9509
y:label=7,2,6,21,10,8,2,0,950,4,25,0.9241
y:label=8,10,0,11,26,6,26,7,8,870,10,0.8932
y:label=9,6,7,3,15,22,4,0,18,10,924,0.9157
Precision,0.9559,0.9807,0.9339,0.9052,0.9323,0.9169,0.9382,0.9332,0.8913,0.9249,
F-Measures,0.9650,0.9832,0.9256,0.9114,0.9365,0.9038,0.9445,0.9286,0.8922,0.9202,
,,,,,,,,,,,
Accuracy,0.9322,,,,,,,,,,
Avg.Precision,0.9312,,,,,,,,,,
Avg.Recall,0.9312,,,,,,,,,,
Avg.F-Measures,0.9311,,,,,,,,,,
