,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,Recall
y:label=0,949,0,1,4,1,8,9,2,5,1,0.9683
y:label=1,0,1109,4,2,0,3,4,0,13,0,0.9770
y:label=2,9,9,918,18,12,5,9,14,33,5,0.8895
y:label=3,2,2,12,922,3,30,2,12,17,8,0.9128
y:label=4,1,0,5,1,923,3,11,3,5,30,0.9399
y:label=5,7,2,1,25,8,787,15,8,32,7,0.8822
y:label=6,6,3,5,0,8,18,914,1,3,0,0.9540
y:label=7,1,8,17,9,8,0,0,946,2,37,0.9202
y:label=8,5,8,6,11,10,24,7,5,884,14,0.9075
y:label=9,6,7,2,12,38,7,0,27,7,903,0.8949
Precision,0.9624,0.9660,0.9454,0.9183,0.9129,0.8892,0.9412,0.9292,0.8831,0.8985,
F-Measures,0.9653,0.9714,0.9165,0.9155,0.9262,0.8856,0.9475,0.9246,0.8951,0.8966,
,,,,,,,,,,,
Accuracy,0.9255,,,,,,,,,,
Avg.Precision,0.9246,,,,,,,,,,
Avg.Recall,0.9246,,,,,,,,,,
Avg.F-Measures,0.9244,,,,,,,,,,
