,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,Recall
y:label=0,972,0,1,0,0,1,2,3,1,0,0.9918
y:label=1,0,1129,2,1,0,0,0,3,0,0,0.9947
y:label=2,0,2,1017,2,1,0,1,8,1,0,0.9854
y:label=3,1,0,0,1005,0,2,0,1,1,0,0.9950
y:label=4,0,0,0,0,974,0,1,0,2,5,0.9918
y:label=5,3,0,0,4,0,879,3,0,1,2,0.9854
y:label=6,3,2,0,0,2,1,950,0,0,0,0.9916
y:label=7,0,2,6,0,0,0,0,1015,1,4,0.9873
y:label=8,5,1,3,3,1,0,1,5,948,7,0.9733
y:label=9,1,5,0,1,8,3,0,3,1,987,0.9781
Precision,0.9868,0.9894,0.9883,0.9891,0.9878,0.9920,0.9916,0.9778,0.9916,0.9820,
F-Measures,0.9892,0.9920,0.9868,0.9920,0.9897,0.9886,0.9916,0.9825,0.9823,0.9800,
,,,,,,,,,,,
Accuracy,0.9876,,,,,,,,,,
Avg.Precision,0.9876,,,,,,,,,,
Avg.Recall,0.9874,,,,,,,,,,
Avg.F-Measures,0.9875,,,,,,,,,,
