,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,Recall
y:label=0,977,1,1,0,0,0,1,0,0,0,0.9969
y:label=1,0,1133,1,0,0,0,0,1,0,0,0.9982
y:label=2,1,2,1023,0,0,0,0,4,2,0,0.9912
y:label=3,0,0,1,1006,0,2,0,0,1,0,0.9960
y:label=4,0,0,0,0,973,0,2,0,0,7,0.9908
y:label=5,1,1,0,5,0,883,1,0,0,1,0.9899
y:label=6,4,3,0,1,1,2,945,0,2,0,0.9864
y:label=7,0,1,4,0,0,0,0,1022,0,1,0.9941
y:label=8,2,0,2,1,0,1,0,1,964,3,0.9897
y:label=9,0,1,0,0,5,3,0,1,1,998,0.9890
Precision,0.9918,0.9921,0.9912,0.9930,0.9938,0.9910,0.9957,0.9931,0.9938,0.9881,
F-Measures,0.9943,0.9951,0.9912,0.9944,0.9922,0.9904,0.9910,0.9935,0.9917,0.9885,
,,,,,,,,,,,
Accuracy,0.9924,,,,,,,,,,
Avg.Precision,0.9924,,,,,,,,,,
Avg.Recall,0.9922,,,,,,,,,,
Avg.F-Measures,0.9922,,,,,,,,,,
