x:image,y:label,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\6\03395.png,6,1.7907885e-06,3.068615e-08,7.0345465e-08,4.985319e-07,4.7611927e-08,1.8721895e-06,0.99999356,5.215394e-07,7.1316515e-07,8.6013563e-07
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\0\06971.png,0,0.99736625,3.158821e-07,0.0025154566,8.608269e-07,4.1063718e-06,4.0535338e-06,3.103571e-08,6.733355e-06,0.00010182145,3.5244574e-07
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\6\02759.png,6,2.7492517e-06,1.1396465e-06,2.4496487e-06,7.4252803e-06,6.8279883e-06,6.2415455e-07,0.9999726,8.500904e-07,4.8307134e-06,4.898372e-07
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\4\02900.png,4,1.1035927e-05,2.1114643e-06,8.877139e-05,1.0490929e-07,0.9998834,3.072599e-08,1.0880689e-06,5.205478e-07,1.9016134e-06,1.0963315e-05
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\3\06160.png,3,2.2958965e-08,1.291173e-07,3.1316493e-08,0.99999654,2.4177902e-09,2.6270598e-06,1.1597975e-07,1.0286924e-07,2.86445e-07,1.3971496e-07
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\7\00041.png,7,1.9450024e-06,1.6420141e-05,0.0019473236,7.532701e-06,0.00013630852,1.2961291e-06,3.2828397e-05,0.99785006,3.9126085e-06,2.4047758e-06
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\3\04109.png,3,1.9974796e-07,2.3626332e-07,5.97484e-08,0.9999924,1.9499076e-07,2.0410414e-07,6.9793856e-07,1.672297e-06,9.0948436e-07,3.441953e-06
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\9\08136.png,9,2.2593362e-05,7.7239343e-07,4.0706946e-06,1.7013678e-08,4.756561e-06,1.2328276e-07,1.2702302e-06,3.3572492e-06,3.2209024e-05,0.999931
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\0\03774.png,0,0.9999838,9.539772e-07,4.051728e-09,1.6572088e-09,1.2486979e-09,2.0925582e-07,1.5527819e-06,1.1753074e-09,1.890971e-06,1.1550309e-05
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\0\07607.png,0,0.99999046,1.5123463e-07,8.030831e-06,3.1149973e-08,8.173978e-08,1.467519e-08,8.247269e-08,3.9961955e-07,7.2182894e-07,4.4931053e-08
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\9\05951.png,9,5.505782e-07,5.1530805e-07,7.650683e-08,2.8581429e-08,6.5555736e-07,9.499837e-09,3.3997636e-09,3.360867e-07,2.1337215e-07,0.9999976
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\4\01023.png,4,7.697001e-08,7.926519e-07,5.1539854e-07,1.02932454e-07,0.9999604,1.5552174e-06,4.304503e-06,3.216227e-05,1.536519e-07,1.5184006e-09
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\8\07878.png,8,4.652744e-09,1.0272877e-07,2.8780016e-07,2.9696977e-08,3.1923755e-09,9.408097e-08,6.5613333e-09,2.173443e-09,0.9999995,3.3162042e-09
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\8\09722.png,8,1.8868418e-06,1.506207e-07,9.571711e-07,4.780288e-07,9.2306095e-08,1.3950198e-07,4.927003e-06,1.2113937e-07,0.9999683,2.2984488e-05
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\9\06870.png,9,1.0738975e-06,8.125186e-06,3.1136565e-07,9.1312714e-08,3.396109e-06,3.9938718e-07,1.333474e-07,1.46426595e-08,2.751343e-05,0.999959
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\9\04287.png,9,2.1498052e-05,1.5041444e-05,0.00017876242,1.7113999e-07,2.012046e-05,6.9808436e-07,2.1847602e-06,5.2289784e-07,0.00016639402,0.9995946
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\2\05521.png,2,5.499433e-07,6.011681e-06,0.999972,2.782481e-07,1.198473e-07,8.0963694e-08,2.562568e-06,1.9833675e-07,5.671623e-07,1.7713923e-05
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\0\00372.png,0,0.99992263,6.4941986e-08,1.1333984e-05,2.999181e-07,4.6944306e-06,7.936806e-06,4.2435102e-05,1.2761874e-06,8.726175e-06,6.491663e-07
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\8\07872.png,8,3.5099027e-05,2.0066584e-07,1.1163636e-05,1.5555111e-06,3.8477116e-05,2.3659002e-06,4.5721495e-06,8.835256e-08,0.9998983,8.2032275e-06
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\1\03789.png,1,1.8535474e-07,0.99998415,2.8964854e-07,8.4468246e-07,6.443179e-06,5.1552456e-06,5.455001e-07,8.743076e-07,1.2322403e-06,3.5446033e-07
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\1\05252.png,1,1.2330925e-06,0.9998516,4.8070324e-06,7.801207e-06,1.9546544e-05,8.424737e-06,6.10293e-05,2.8106142e-05,1.325255e-06,1.6140293e-05
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\9\05315.png,9,2.0327618e-06,1.9208546e-06,8.4897067e-07,5.7406083e-08,5.9061483e-07,4.4038646e-07,2.5352148e-07,9.243154e-07,1.2745811e-06,0.99999166
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\9\08590.png,9,4.658721e-06,2.408451e-07,1.7274294e-06,2.3282054e-07,1.2787252e-06,7.971792e-08,7.5815376e-07,7.900931e-07,3.8797523e-05,0.99995136
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\0\08179.png,0,0.99992406,5.6503e-06,3.6314173e-05,1.583378e-06,7.264358e-06,1.1982567e-05,7.600874e-06,6.1662826e-07,2.7894268e-06,2.1851095e-06
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\4\09193.png,4,1.7920247e-07,1.00983195e-08,5.0657327e-06,4.064759e-08,0.9999919,8.362023e-08,3.398302e-07,2.3369234e-06,5.044328e-08,4.3238666e-13
