,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,Recall
y:label=0,964,0,1,2,0,4,6,2,1,0,0.9836
y:label=1,0,1114,3,2,0,1,4,2,9,0,0.9814
y:label=2,6,8,930,15,8,4,12,9,36,4,0.9011
y:label=3,4,0,18,918,0,26,2,11,24,7,0.9089
y:label=4,1,1,6,2,920,0,9,5,10,28,0.9368
y:label=5,9,3,2,30,9,778,15,7,33,6,0.8721
y:label=6,13,3,9,1,7,12,910,1,2,0,0.9498
y:label=7,1,6,25,3,6,1,0,953,3,30,0.9270
y:label=8,7,10,6,18,8,18,11,12,877,7,0.9004
y:label=9,11,7,1,8,25,6,0,31,6,914,0.9058
Precision,0.9488,0.9670,0.9290,0.9189,0.9359,0.9152,0.9391,0.9225,0.8761,0.9176,
F-Measures,0.9658,0.9741,0.9148,0.9138,0.9363,0.8931,0.9444,0.9247,0.8880,0.9116,
,,,,,,,,,,,
Accuracy,0.9278,,,,,,,,,,
Avg.Precision,0.9270,,,,,,,,,,
Avg.Recall,0.9267,,,,,,,,,,
Avg.F-Measures,0.9267,,,,,,,,,,
