,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,Recall
y:label=0,950,0,1,2,0,9,9,3,4,2,0.9693
y:label=1,0,1121,3,1,0,1,3,0,6,0,0.9876
y:label=2,7,4,926,31,8,3,11,12,25,5,0.8972
y:label=3,1,0,13,949,4,10,2,8,15,8,0.9396
y:label=4,1,1,9,3,922,0,11,4,6,25,0.9389
y:label=5,8,3,2,53,9,770,17,5,18,7,0.8632
y:label=6,8,3,6,2,5,9,921,1,3,0,0.9613
y:label=7,1,9,18,9,9,1,0,955,2,24,0.9289
y:label=8,10,3,9,20,7,10,7,5,889,14,0.9127
y:label=9,8,3,1,15,25,7,0,20,4,926,0.9177
Precision,0.9557,0.9773,0.9372,0.8746,0.9322,0.9390,0.9388,0.9427,0.9146,0.9159,
F-Measures,0.9624,0.9824,0.9167,0.9059,0.9355,0.8995,0.9499,0.9357,0.9136,0.9167,
,,,,,,,,,,,
Accuracy,0.9329,,,,,,,,,,
Avg.Precision,0.9328,,,,,,,,,,
Avg.Recall,0.9316,,,,,,,,,,
Avg.F-Measures,0.9318,,,,,,,,,,
