,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,Recall
y:label=0,953,0,4,4,0,9,6,1,3,0,0.9724
y:label=1,0,1109,2,2,0,1,5,1,15,0,0.9770
y:label=2,7,5,932,18,10,3,13,9,29,6,0.9031
y:label=3,3,0,15,937,3,14,2,11,19,6,0.9277
y:label=4,1,3,9,2,905,3,7,4,4,44,0.9215
y:label=5,8,3,4,36,12,778,15,6,25,5,0.8721
y:label=6,8,3,7,1,7,10,917,1,4,0,0.9572
y:label=7,0,6,23,10,9,0,0,941,1,38,0.9153
y:label=8,6,6,7,14,9,19,9,6,888,10,0.9117
y:label=9,10,6,2,11,30,8,0,17,5,920,0.9117
Precision,0.9568,0.9719,0.9273,0.9053,0.9187,0.9207,0.9414,0.9438,0.8942,0.8940,
F-Measures,0.9645,0.9744,0.9150,0.9163,0.9200,0.8957,0.9492,0.9293,0.9028,0.9027,
,,,,,,,,,,,
Accuracy,0.928,,,,,,,,,,
Avg.Precision,0.9274,,,,,,,,,,
Avg.Recall,0.9270,,,,,,,,,,
Avg.F-Measures,0.9270,,,,,,,,,,
