,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,Recall
y:label=0,976,0,1,0,0,0,2,1,0,0,0.9959
y:label=1,0,1130,1,1,1,1,0,1,0,0,0.9955
y:label=2,2,0,1027,0,1,0,0,2,0,0,0.9951
y:label=3,0,0,1,1006,0,3,0,0,0,0,0.9960
y:label=4,0,0,0,0,979,0,0,0,0,3,0.9969
y:label=5,1,0,0,5,0,883,2,0,0,1,0.9899
y:label=6,4,2,0,1,3,2,944,0,2,0,0.9853
y:label=7,0,1,2,0,1,0,0,1024,0,0,0.9961
y:label=8,0,0,0,3,0,1,1,0,968,1,0.9938
y:label=9,1,1,1,1,5,4,0,4,2,990,0.9811
Precision,0.9918,0.9964,0.9941,0.9891,0.9888,0.9876,0.9947,0.9922,0.9958,0.9949,
F-Measures,0.9938,0.9959,0.9945,0.9925,0.9928,0.9887,0.9899,0.9941,0.9947,0.9879,
,,,,,,,,,,,
Accuracy,0.9927,,,,,,,,,,
Avg.Precision,0.9926,,,,,,,,,,
Avg.Recall,0.9926,,,,,,,,,,
Avg.F-Measures,0.9925,,,,,,,,,,
