,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,Recall
y:label=0,971,0,1,0,1,1,2,1,3,0,0.9908
y:label=1,0,1124,5,1,0,1,1,0,3,0,0.9903
y:label=2,2,3,1000,7,3,1,2,5,8,1,0.9689
y:label=3,0,0,4,986,0,9,0,2,8,1,0.9762
y:label=4,4,0,0,0,962,0,5,0,1,10,0.9796
y:label=5,4,1,1,5,0,869,2,0,7,3,0.9742
y:label=6,5,3,0,0,5,5,938,0,2,0,0.9791
y:label=7,0,2,12,4,3,0,0,1002,2,3,0.9747
y:label=8,5,1,3,3,3,2,1,2,945,9,0.9702
y:label=9,2,2,1,6,7,5,0,6,2,978,0.9692
Precision,0.9778,0.9894,0.9737,0.9743,0.9776,0.9731,0.9863,0.9842,0.9633,0.9731,
F-Measures,0.9842,0.9898,0.9712,0.9752,0.9785,0.9736,0.9826,0.9794,0.9667,0.9711,
,,,,,,,,,,,
Accuracy,0.9775,,,,,,,,,,
Avg.Precision,0.9773,,,,,,,,,,
Avg.Recall,0.9773,,,,,,,,,,
Avg.F-Measures,0.9772,,,,,,,,,,
