,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,Recall
y:label=0,973,1,0,0,0,1,1,1,3,0,0.9928
y:label=1,0,1133,1,0,0,0,0,0,1,0,0.9982
y:label=2,0,2,1018,1,1,0,1,5,4,0,0.9864
y:label=3,0,0,0,1006,0,2,0,1,1,0,0.9960
y:label=4,1,0,0,0,964,0,2,3,2,10,0.9816
y:label=5,2,0,0,6,0,881,1,0,0,2,0.9876
y:label=6,1,2,0,1,1,4,948,0,1,0,0.9895
y:label=7,0,3,2,3,0,0,0,1017,1,2,0.9892
y:label=8,2,0,2,2,0,2,1,2,961,2,0.9866
y:label=9,0,3,0,2,1,5,0,3,4,991,0.9821
Precision,0.9938,0.9903,0.9951,0.9853,0.9968,0.9843,0.9937,0.9854,0.9826,0.9841,
F-Measures,0.9932,0.9942,0.9907,0.9906,0.9891,0.9859,0.9915,0.9872,0.9845,0.9830,
,,,,,,,,,,,
Accuracy,0.9892,,,,,,,,,,
Avg.Precision,0.9891,,,,,,,,,,
Avg.Recall,0.9890,,,,,,,,,,
Avg.F-Measures,0.9890,,,,,,,,,,
