,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,Recall
y:label=0,977,0,0,0,0,0,1,1,1,0,0.9969
y:label=1,0,1129,2,2,0,0,1,1,0,0,0.9947
y:label=2,2,3,1007,0,1,0,1,13,5,0,0.9757
y:label=3,0,0,0,1000,0,2,0,4,3,1,0.9900
y:label=4,0,0,0,0,975,0,2,1,1,3,0.9928
y:label=5,2,1,0,3,0,875,5,2,4,0,0.9809
y:label=6,3,3,0,0,1,2,943,0,6,0,0.9843
y:label=7,0,4,3,1,0,0,0,1017,1,2,0.9892
y:label=8,4,1,2,1,0,1,0,4,958,3,0.9835
y:label=9,3,2,0,0,9,4,0,5,1,985,0.9762
Precision,0.9858,0.9877,0.9930,0.9930,0.9888,0.9898,0.9895,0.9704,0.9775,0.9909,
F-Measures,0.9913,0.9911,0.9842,0.9914,0.9907,0.9853,0.9868,0.9797,0.9804,0.9834,
,,,,,,,,,,,
Accuracy,0.9866,,,,,,,,,,
Avg.Precision,0.9866,,,,,,,,,,
Avg.Recall,0.9864,,,,,,,,,,
Avg.F-Measures,0.9864,,,,,,,,,,
