,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,Recall
y:label=0,960,0,1,3,0,7,4,3,1,1,0.9795
y:label=1,0,1107,4,1,1,1,4,1,16,0,0.9753
y:label=2,9,5,935,15,7,7,8,10,31,5,0.9060
y:label=3,3,1,12,941,2,13,3,8,23,4,0.9316
y:label=4,1,2,7,5,912,3,6,4,7,35,0.9287
y:label=5,8,3,2,44,9,773,13,8,26,6,0.8665
y:label=6,8,4,7,1,9,19,904,2,4,0,0.9436
y:label=7,2,5,22,12,6,1,0,942,2,36,0.9163
y:label=8,12,7,8,20,10,22,3,4,878,10,0.9014
y:label=9,12,5,1,14,23,4,0,22,8,920,0.9117
Precision,0.9458,0.9719,0.9359,0.8910,0.9315,0.9094,0.9566,0.9382,0.8815,0.9046,
F-Measures,0.9623,0.9735,0.9207,0.9108,0.9300,0.8874,0.9500,0.9271,0.8913,0.9081,
,,,,,,,,,,,
Accuracy,0.9272,,,,,,,,,,
Avg.Precision,0.9266,,,,,,,,,,
Avg.Recall,0.9261,,,,,,,,,,
Avg.F-Measures,0.9261,,,,,,,,,,
