,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,Recall
y:label=0,977,1,0,0,0,0,1,1,0,0,0.9969
y:label=1,0,1131,1,1,0,0,1,1,0,0,0.9964
y:label=2,1,0,1021,0,1,0,1,4,3,1,0.9893
y:label=3,0,0,1,1002,0,5,0,1,1,0,0.9920
y:label=4,0,0,0,1,978,0,1,0,0,2,0.9959
y:label=5,2,1,0,3,0,884,2,0,0,0,0.9910
y:label=6,4,1,0,0,0,0,951,0,2,0,0.9926
y:label=7,0,2,3,2,0,0,0,1019,1,1,0.9912
y:label=8,1,0,1,1,0,1,0,0,969,1,0.9948
y:label=9,1,0,1,1,4,1,0,2,2,997,0.9881
Precision,0.9908,0.9955,0.9931,0.9910,0.9949,0.9921,0.9937,0.9912,0.9907,0.9950,
F-Measures,0.9938,0.9959,0.9911,0.9914,0.9953,0.9915,0.9931,0.9912,0.9927,0.9915,
,,,,,,,,,,,
Accuracy,0.9929,,,,,,,,,,
Avg.Precision,0.9928,,,,,,,,,,
Avg.Recall,0.9928,,,,,,,,,,
Avg.F-Measures,0.9928,,,,,,,,,,
