,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,Recall
y:label=0,956,0,2,2,0,5,10,2,2,1,0.9755
y:label=1,0,1110,3,2,0,1,4,2,13,0,0.9779
y:label=2,4,8,926,15,6,3,16,10,41,3,0.8972
y:label=3,3,0,17,923,0,21,3,11,25,7,0.9138
y:label=4,1,1,2,2,907,0,18,4,10,37,0.9236
y:label=5,7,3,2,31,8,770,19,9,37,6,0.8632
y:label=6,7,3,3,1,7,7,925,2,3,0,0.9655
y:label=7,1,5,23,3,5,0,0,955,3,33,0.9289
y:label=8,5,6,6,16,8,18,11,12,886,6,0.9096
y:label=9,9,5,1,9,24,6,0,25,12,918,0.9098
Precision,0.9627,0.9728,0.9401,0.9193,0.9398,0.9265,0.9194,0.9253,0.8585,0.9080,
F-Measures,0.9690,0.9753,0.9181,0.9165,0.9316,0.8937,0.9418,0.9270,0.8833,0.9088,
,,,,,,,,,,,
Accuracy,0.9276,,,,,,,,,,
Avg.Precision,0.9272,,,,,,,,,,
Avg.Recall,0.9265,,,,,,,,,,
Avg.F-Measures,0.9265,,,,,,,,,,
