,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,Recall
y:label=0,977,1,0,0,0,0,0,1,1,0,0.9969
y:label=1,0,1134,0,0,0,0,0,1,0,0,0.9991
y:label=2,1,2,1018,0,0,0,0,9,2,0,0.9864
y:label=3,0,0,2,998,0,9,0,0,1,0,0.9881
y:label=4,0,1,0,0,975,0,2,0,2,2,0.9928
y:label=5,2,0,0,1,0,888,1,0,0,0,0.9955
y:label=6,5,2,1,0,1,2,944,0,3,0,0.9853
y:label=7,0,1,4,0,0,0,0,1022,1,0,0.9941
y:label=8,3,0,2,1,0,2,1,2,959,4,0.9845
y:label=9,0,2,1,0,7,3,0,4,1,991,0.9821
Precision,0.9888,0.9921,0.9902,0.998,0.9918,0.9823,0.9957,0.9836,0.9886,0.9939,
F-Measures,0.9928,0.9955,0.9882,0.9930,0.9922,0.9888,0.9904,0.9888,0.9865,0.9879,
,,,,,,,,,,,
Accuracy,0.9906,,,,,,,,,,
Avg.Precision,0.9905,,,,,,,,,,
Avg.Recall,0.9905,,,,,,,,,,
Avg.F-Measures,0.9904,,,,,,,,,,
