,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,Recall
y:label=0,920,5,3,7,1,19,6,4,14,1,0.9387
y:label=1,0,1084,5,2,2,5,7,0,30,0,0.9550
y:label=2,15,13,877,28,21,6,20,13,33,6,0.8498
y:label=3,6,5,24,867,4,54,3,19,23,5,0.8584
y:label=4,0,15,11,1,870,3,18,1,5,58,0.8859
y:label=5,13,8,14,43,24,696,14,11,63,6,0.7802
y:label=6,18,12,6,1,10,16,890,2,3,0,0.9290
y:label=7,0,10,28,8,11,3,1,917,3,47,0.8920
y:label=8,5,36,14,43,21,52,10,8,775,10,0.7956
y:label=9,11,10,6,17,36,9,0,22,8,890,0.8820
Precision,0.9311,0.9048,0.8876,0.8525,0.87,0.8064,0.9184,0.9197,0.8098,0.8699,
F-Measures,0.9348,0.9292,0.8682,0.8554,0.8778,0.7930,0.9236,0.9056,0.8026,0.8759,
,,,,,,,,,,,
Accuracy,0.8786,,,,,,,,,,
Avg.Precision,0.8770,,,,,,,,,,
Avg.Recall,0.8767,,,,,,,,,,
Avg.F-Measures,0.8766,,,,,,,,,,
