,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,Recall
y:label=0,973,0,2,1,0,1,2,0,1,0,0.9928
y:label=1,0,1133,2,0,0,0,0,0,0,0,0.9982
y:label=2,0,3,1024,0,2,0,1,2,0,0,0.9922
y:label=3,0,0,2,1004,0,3,0,1,0,0,0.9940
y:label=4,1,0,1,0,973,0,2,1,1,3,0.9908
y:label=5,1,0,1,8,0,881,1,0,0,0,0.9876
y:label=6,1,2,1,0,1,4,949,0,0,0,0.9906
y:label=7,0,2,4,1,0,0,0,1019,1,1,0.9912
y:label=8,1,1,9,2,1,1,1,3,951,4,0.9763
y:label=9,0,4,1,0,2,8,1,7,2,984,0.9752
Precision,0.9959,0.9895,0.9780,0.9881,0.9938,0.9810,0.9916,0.9864,0.9947,0.9919,
F-Measures,0.9943,0.9938,0.9850,0.9910,0.9922,0.9842,0.9910,0.9887,0.9854,0.9834,
,,,,,,,,,,,
Accuracy,0.9891,,,,,,,,,,
Avg.Precision,0.9891,,,,,,,,,,
Avg.Recall,0.9889,,,,,,,,,,
Avg.F-Measures,0.9889,,,,,,,,,,
