,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,Recall
y:label=0,960,0,2,1,0,7,6,3,1,0,0.9795
y:label=1,0,1111,4,1,0,3,4,2,10,0,0.9788
y:label=2,5,9,931,15,8,6,11,10,34,3,0.9021
y:label=3,4,1,19,919,0,25,2,11,20,9,0.9099
y:label=4,1,3,5,0,925,1,9,5,8,25,0.9419
y:label=5,8,2,5,30,9,783,12,5,31,7,0.8778
y:label=6,11,3,8,1,7,11,913,2,2,0,0.9530
y:label=7,1,7,24,5,7,0,0,951,2,31,0.9250
y:label=8,8,9,7,23,10,28,9,11,862,7,0.8850
y:label=9,11,6,1,11,33,7,0,22,9,909,0.9008
Precision,0.9514,0.9652,0.9254,0.9135,0.9259,0.8989,0.9451,0.9305,0.8804,0.9172,
F-Measures,0.9652,0.9719,0.9136,0.9116,0.9338,0.8882,0.9490,0.9277,0.8826,0.9089,
,,,,,,,,,,,
Accuracy,0.9264,,,,,,,,,,
Avg.Precision,0.9253,,,,,,,,,,
Avg.Recall,0.9254,,,,,,,,,,
Avg.F-Measures,0.9252,,,,,,,,,,
