,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,Recall
y:label=0,968,0,2,1,0,1,3,0,4,1,0.9877
y:label=1,0,1131,2,0,0,0,2,0,0,0,0.9964
y:label=2,2,3,1016,1,1,0,1,5,2,1,0.9844
y:label=3,0,0,2,999,0,5,0,1,3,0,0.9891
y:label=4,2,0,1,0,964,0,4,1,0,10,0.9816
y:label=5,1,0,0,5,0,883,3,0,0,0,0.9899
y:label=6,3,2,0,0,1,4,946,0,2,0,0.9874
y:label=7,1,1,11,3,0,0,0,1007,3,2,0.9795
y:label=8,4,0,4,1,0,3,4,3,952,3,0.9774
y:label=9,1,4,1,4,3,8,0,8,2,978,0.9692
Precision,0.9857,0.9912,0.9778,0.9852,0.9948,0.9767,0.9823,0.9824,0.9834,0.9829,
F-Measures,0.9866,0.9937,0.9810,0.9871,0.9881,0.9832,0.9848,0.9809,0.9803,0.9760,
,,,,,,,,,,,
Accuracy,0.9844,,,,,,,,,,
Avg.Precision,0.9842,,,,,,,,,,
Avg.Recall,0.9843,,,,,,,,,,
Avg.F-Measures,0.9842,,,,,,,,,,
