,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,Recall
y:label=0,973,0,0,0,0,1,3,1,2,0,0.9928
y:label=1,0,1128,4,0,0,0,2,0,1,0,0.9938
y:label=2,1,1,1015,0,2,0,0,8,5,0,0.9835
y:label=3,0,0,3,989,0,7,0,6,5,0,0.9792
y:label=4,0,1,1,0,970,0,2,2,2,4,0.9877
y:label=5,2,0,0,3,0,879,1,1,4,2,0.9854
y:label=6,5,5,0,0,1,3,944,0,0,0,0.9853
y:label=7,0,1,7,3,0,0,0,1010,2,5,0.9824
y:label=8,4,0,3,1,2,0,0,4,956,4,0.9815
y:label=9,2,5,3,4,6,5,0,5,1,978,0.9692
Precision,0.9858,0.9886,0.9797,0.989,0.9887,0.9821,0.9915,0.9739,0.9775,0.9848,
F-Measures,0.9892,0.9911,0.9815,0.9840,0.9881,0.9837,0.9883,0.9781,0.9794,0.9769,
,,,,,,,,,,,
Accuracy,0.9842,,,,,,,,,,
Avg.Precision,0.9842,,,,,,,,,,
Avg.Recall,0.9841,,,,,,,,,,
Avg.F-Measures,0.9841,,,,,,,,,,
