,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,Recall
y:label=0,952,0,3,4,0,10,7,2,2,0,0.9714
y:label=1,0,1108,3,2,0,1,5,1,15,0,0.9762
y:label=2,8,4,929,23,11,3,11,7,32,4,0.9001
y:label=3,3,0,15,934,3,17,2,11,19,6,0.9247
y:label=4,1,4,8,3,906,3,7,5,6,39,0.9226
y:label=5,6,3,3,38,12,773,15,6,30,6,0.8665
y:label=6,8,3,7,1,6,10,919,1,3,0,0.9592
y:label=7,0,6,23,11,9,0,0,935,2,42,0.9095
y:label=8,6,6,6,16,8,18,8,7,888,11,0.9117
y:label=9,9,6,3,12,28,9,0,16,5,921,0.9127
Precision,0.9587,0.9719,0.929,0.8946,0.9216,0.9158,0.9435,0.9434,0.8862,0.8950,
F-Measures,0.9650,0.9740,0.9143,0.9094,0.9220,0.8904,0.9512,0.9261,0.8987,0.9037,
,,,,,,,,,,,
Accuracy,0.9265,,,,,,,,,,
Avg.Precision,0.9260,,,,,,,,,,
Avg.Recall,0.9255,,,,,,,,,,
Avg.F-Measures,0.9255,,,,,,,,,,
