,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,Recall
y:label=0,976,0,1,0,0,0,1,1,1,0,0.9959
y:label=1,0,1132,1,1,0,0,0,1,0,0,0.9973
y:label=2,0,1,1028,0,1,0,0,2,0,0,0.9961
y:label=3,0,0,0,1008,0,1,0,0,1,0,0.9980
y:label=4,0,0,0,0,979,0,1,0,0,2,0.9969
y:label=5,1,0,0,4,0,885,1,0,0,1,0.9921
y:label=6,3,3,0,0,1,1,950,0,0,0,0.9916
y:label=7,0,3,5,0,0,0,0,1018,0,2,0.9902
y:label=8,0,0,1,1,0,2,0,0,969,1,0.9948
y:label=9,1,0,1,0,6,5,0,2,1,993,0.9841
Precision,0.9949,0.9938,0.9913,0.9940,0.9918,0.9899,0.9968,0.9941,0.9969,0.9939,
F-Measures,0.9953,0.9955,0.9936,0.9959,0.9943,0.9909,0.9941,0.9921,0.9958,0.9889,
,,,,,,,,,,,
Accuracy,0.9938,,,,,,,,,,
Avg.Precision,0.9937,,,,,,,,,,
Avg.Recall,0.9937,,,,,,,,,,
Avg.F-Measures,0.9937,,,,,,,,,,
