x:image,y:label,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\6\03395.png,6,0.00065799535,0.00020115724,0.023788381,0.00037004476,0.013647738,0.0008476833,0.9591602,7.6228585e-05,0.00076480064,0.00048568964
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\0\06971.png,0,0.7480444,2.1625074e-06,0.14202875,0.08701517,6.984861e-06,0.010900621,0.0065713837,2.6523445e-05,0.005398299,5.661176e-06
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\6\02759.png,6,0.0011071975,0.00028492024,0.006774507,0.000114952854,0.008185799,0.00014219429,0.98220277,0.00048134316,0.0003304138,0.00037590988
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\4\02900.png,4,0.006047428,5.2615417e-07,0.007261808,0.0015745742,0.94715637,0.0053956253,0.015500341,9.151844e-06,0.00013029375,0.016923867
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\3\06160.png,3,0.00011888329,8.091953e-08,0.12545356,0.45711544,1.1006735e-05,0.0078095384,1.5780468e-09,4.4715e-06,0.40946832,1.859243e-05
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\7\00041.png,7,8.58399e-05,4.680644e-06,0.022119233,0.0043563196,0.00042477317,0.0005789744,6.859357e-05,0.95493215,0.0030088616,0.014420625
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\3\04109.png,3,0.026688792,0.002962511,0.029353801,0.7280868,0.0004818745,0.14756276,0.002074159,0.0004536897,0.06028791,0.002047664
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\9\08136.png,9,0.00036416616,1.0203677e-08,8.166921e-05,0.00019761341,0.0061001424,0.00031336732,5.3824555e-05,0.03465591,0.0023628785,0.9558705
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\0\03774.png,0,0.9670523,2.1682483e-06,0.0033746695,0.00042866237,1.4740054e-05,0.007509342,4.057555e-05,3.5429795e-05,0.02017927,0.0013628994
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\0\07607.png,0,0.96235514,1.17036525e-05,0.014464431,0.004394321,9.74029e-06,0.0048094196,0.005882573,1.3865215e-05,0.008008712,5.0074235e-05
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\9\05951.png,9,1.18790485e-05,0.0007241787,1.15451585e-05,0.0038923614,0.110083416,0.028880067,7.858401e-05,0.002500694,0.00676401,0.84705335
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\4\01023.png,4,0.014488075,2.7199435e-06,0.021688452,0.00091379933,0.7442646,0.0026279662,0.21061759,0.0014574765,0.0008293829,0.0031099338
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\8\07878.png,8,0.0007739464,2.2393212e-07,0.0024389713,0.0066725826,1.472485e-06,0.0020473753,1.9315635e-08,1.6306893e-05,0.9878099,0.00023918167
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\8\09722.png,8,0.007974833,0.0040774234,0.01014905,0.031208351,8.12068e-05,0.015792679,5.894517e-06,0.0003320397,0.9296494,0.0007290916
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\9\06870.png,9,7.894727e-06,5.25841e-06,0.00045722802,0.0053897547,0.0733924,0.008483399,6.351694e-05,0.0015368302,0.04043927,0.87022454
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\9\04287.png,9,0.0013798409,3.2788128e-06,0.024654198,0.0009738721,0.061583757,0.004784715,0.0067775412,0.004889946,0.011750613,0.88320225
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\2\05521.png,2,0.001625853,0.00022228617,0.9820179,0.0091005955,6.7772037e-09,0.00071474974,0.005996191,5.6103044e-10,0.00032237466,1.9596758e-09
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\0\00372.png,0,0.72678167,2.2205046e-05,0.20939079,0.03449662,9.974894e-06,0.015760807,0.0003450089,0.0003701713,0.012731752,9.089918e-05
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\8\07872.png,8,0.004143757,3.5279047e-07,0.007528946,0.0034480812,5.146904e-05,0.002453818,1.3965273e-06,1.3730555e-07,0.9822464,0.00012551839
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\1\03789.png,1,0.0030598047,0.97343624,0.0012448829,0.002598118,0.0044417037,0.002033949,0.002093619,0.00018991277,0.010192771,0.00070905994
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\1\05252.png,1,0.00020521398,0.98807037,0.0025689534,0.00051798444,0.0016028016,0.0006457763,0.0020697927,0.0006751542,0.0033129272,0.0003308133
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\9\05315.png,9,3.822265e-05,1.0582475e-08,4.1896233e-06,0.001190247,0.0043061776,0.0036228362,3.3363306e-06,0.020028537,0.0031869316,0.9676194
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\9\08590.png,9,0.00013429255,1.8663156e-06,0.00017631425,0.0027160784,0.0148478355,0.0053623714,0.00013950106,0.0025889305,0.007923163,0.96610963
