,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,Recall
y:label=0,974,0,2,0,0,2,0,1,1,0,0.9938
y:label=1,0,1128,2,2,0,0,1,1,1,0,0.9938
y:label=2,0,1,1020,3,0,0,0,5,3,0,0.9883
y:label=3,0,0,0,1009,0,1,0,0,0,0,0.9990
y:label=4,0,0,1,0,969,0,1,2,1,8,0.9867
y:label=5,1,0,0,7,0,882,1,1,0,0,0.9887
y:label=6,3,2,0,1,1,4,945,0,2,0,0.9864
y:label=7,0,2,4,3,0,0,0,1018,1,0,0.9902
y:label=8,1,0,2,1,0,1,0,0,967,2,0.9928
y:label=9,1,0,1,0,1,6,0,9,3,988,0.9791
Precision,0.9938,0.9955,0.9883,0.9834,0.9979,0.9843,0.9968,0.9816,0.9877,0.9899,
F-Measures,0.9938,0.9946,0.9883,0.9911,0.9922,0.9864,0.9915,0.9858,0.9902,0.9844,
,,,,,,,,,,,
Accuracy,0.99,,,,,,,,,,
Avg.Precision,0.9899,,,,,,,,,,
Avg.Recall,0.9899,,,,,,,,,,
Avg.F-Measures,0.9898,,,,,,,,,,
