x:image,y:label,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\6\03395.png,6,8.857853e-08,4.788987e-10,3.988283e-09,3.3287397e-09,1.2278943e-08,1.8980285e-05,0.9999807,4.936472e-11,2.7748493e-07,5.7709054e-10
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\0\06971.png,0,0.9951218,5.5605937e-10,0.00479519,2.7159912e-08,1.3966583e-10,2.8241084e-08,1.1500543e-07,1.1598688e-06,8.170384e-05,2.3329324e-08
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\6\02759.png,6,4.0658853e-07,3.5314393e-10,4.811264e-09,6.77233e-11,3.962874e-08,2.3392667e-08,0.9999995,3.469103e-11,1.5750391e-08,1.0829038e-12
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\4\02900.png,4,1.6041808e-08,1.3260006e-06,0.00019662823,2.7137254e-08,0.9997665,1.2223445e-07,1.6066672e-08,1.7701806e-05,2.6146583e-07,1.7422464e-05
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\3\06160.png,3,1.4005538e-16,5.4573737e-12,2.5141704e-09,1.0,1.3272931e-16,3.2302359e-09,5.0567437e-17,5.641182e-10,2.7484196e-08,3.8309854e-12
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\7\00041.png,7,5.695286e-10,7.744677e-07,0.001171066,0.0004731058,5.292013e-09,1.1061904e-08,9.881624e-15,0.9983542,9.0665544e-08,8.0056134e-07
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\3\04109.png,3,5.977265e-10,1.397273e-08,1.0871237e-06,0.9999814,2.1001782e-11,1.4392034e-05,3.2130398e-08,5.4545254e-08,2.681589e-06,3.930361e-07
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\9\08136.png,9,8.3026735e-10,1.4368412e-12,2.791019e-08,5.295921e-07,2.4123745e-05,1.744179e-07,1.3873928e-12,0.0058861594,0.00093774253,0.9931512
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\0\03774.png,0,0.99971,6.481715e-13,2.7701142e-07,6.894949e-09,1.3953891e-12,3.3546818e-05,6.73827e-06,2.621036e-07,0.000227571,2.1438922e-05
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\0\07607.png,0,0.99999475,4.355664e-13,2.50795e-07,6.4441616e-12,2.0098211e-12,1.5825991e-08,4.1851745e-06,3.0665734e-10,8.1097335e-07,2.8923812e-09
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\9\05951.png,9,5.833584e-13,6.840013e-07,7.4005163e-07,0.00021112045,8.870809e-05,5.483061e-06,1.0019721e-13,8.1315055e-05,1.549952e-05,0.9995964
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\4\01023.png,4,3.9014378e-08,2.8692364e-09,1.3064148e-07,1.1605848e-11,0.99998486,4.5922848e-06,2.7062432e-08,1.0283401e-05,4.8634163e-08,8.087198e-08
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\8\07878.png,8,8.02877e-08,3.2589392e-10,4.559335e-05,9.546478e-07,2.3087665e-10,8.756536e-08,5.931879e-11,1.8923146e-08,0.99995315,1.1889505e-07
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\8\09722.png,8,2.0894252e-06,2.093648e-08,2.4122135e-06,6.0305083e-06,2.3065834e-07,8.631843e-07,1.4435923e-07,1.3487904e-07,0.99998605,1.959009e-06
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\9\06870.png,9,1.86918e-12,5.0547847e-11,2.3165524e-07,6.5924096e-06,0.00010901991,0.00013416393,2.5263068e-11,0.00025132817,0.0009866788,0.99851197
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\9\04287.png,9,2.6786436e-05,3.0520673e-12,1.0729724e-05,1.5055226e-06,7.460091e-06,8.896246e-06,3.1752897e-08,5.4294313e-05,7.374336e-05,0.9998166
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\2\05521.png,2,2.2441038e-09,0.00013939787,0.99986017,3.5563847e-08,6.760246e-12,7.2573076e-12,1.8661474e-07,5.3042282e-11,9.070987e-08,5.2973546e-14
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\0\00372.png,0,0.9981231,3.7010827e-13,4.3621963e-06,3.262451e-06,1.9550533e-12,0.0016262342,0.00011251045,5.997016e-07,9.891314e-05,3.10443e-05
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\8\07872.png,8,1.1849689e-05,6.985721e-11,1.3137367e-05,5.707556e-06,5.2438773e-09,1.0596647e-07,2.6983955e-07,5.6997335e-10,0.9999689,1.0597456e-07
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\1\03789.png,1,2.3171074e-06,0.9968989,2.9184985e-05,0.00010619475,5.989769e-05,6.1828054e-05,7.8541896e-05,1.6153033e-06,0.0027597712,1.8296087e-06
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\1\05252.png,1,5.257641e-08,0.9995571,3.2359928e-06,4.9333744e-07,0.00039477972,3.8203837e-07,4.198687e-06,2.8940949e-05,1.0593324e-05,2.2894434e-07
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\9\05315.png,9,4.4826946e-12,8.553288e-12,1.5311608e-09,6.9898515e-06,7.586243e-07,2.3010657e-06,1.1257273e-14,5.0681763e-05,2.5985155e-06,0.9999367
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\9\08590.png,9,1.5858771e-09,1.6859299e-10,4.180607e-08,2.2292595e-06,2.4902522e-05,2.8758254e-06,2.3735897e-11,0.0005464196,1.2146108e-05,0.99941146
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\0\08179.png,0,0.99969673,3.2902491e-12,4.879235e-06,2.1813834e-10,7.231583e-12,8.457008e-09,0.00029707758,1.4272966e-10,1.1714205e-06,6.985734e-08
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\4\09193.png,4,5.212908e-08,1.0214943e-06,1.0720903e-06,5.3758525e-11,0.9998511,2.5813038e-09,1.4856419e-08,0.00014558932,1.1557541e-06,1.2427748e-10
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\8\01425.png,8,2.588255e-05,2.4713037e-07,1.6879876e-06,2.983369e-06,0.017926624,4.1260013e-05,0.0066769263,5.0592002e-06,0.97531825,1.0162295e-06
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\7\06954.png,7,4.07841e-07,2.2927177e-06,0.0120727625,0.0018023557,4.2626958e-08,2.746905e-07,1.1266842e-10,0.98553026,5.1113322e-05,0.000540525
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\7\07902.png,7,3.576437e-08,2.5367392e-06,2.8399798e-05,0.0009167851,3.4296097e-06,4.4169445e-07,1.5332852e-12,0.99535406,0.00019878309,0.003495529
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\8\04231.png,8,5.1866152e-08,2.1228685e-09,0.00048116638,1.5838616e-06,1.2177921e-09,2.8863747e-07,6.823996e-09,1.3282262e-06,0.9995134,2.2595182e-06
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\8\00606.png,8,1.5971102e-08,6.2609107e-10,7.4583204e-07,9.708212e-06,4.0724055e-10,9.658902e-05,4.523014e-07,7.012967e-11,0.9998925,2.4988795e-09
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\0\06211.png,0,0.99998057,1.709256e-11,1.7198789e-06,6.4504707e-10,6.3712334e-11,1.0001653e-08,1.7479655e-05,3.4853875e-10,2.5928279e-07,1.1682256e-09
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\9\00322.png,9,8.942541e-13,2.1115593e-08,1.2284328e-09,5.2155225e-05,7.464631e-05,2.8957706e-06,1.8220415e-13,7.831339e-05,1.3164164e-05,0.9997788
