,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,Recall
y:label=0,979,0,0,0,0,0,1,0,0,0,0.9989
y:label=1,0,1131,1,2,0,0,0,1,0,0,0.9964
y:label=2,1,0,1026,0,0,0,0,4,1,0,0.9941
y:label=3,0,0,1,1004,0,1,0,0,2,2,0.9940
y:label=4,0,0,1,0,969,0,1,0,2,9,0.9867
y:label=5,1,0,0,5,0,882,2,0,0,2,0.9887
y:label=6,3,2,0,0,0,0,950,0,3,0,0.9916
y:label=7,0,1,5,0,1,0,0,1020,0,1,0.9922
y:label=8,1,0,0,0,1,1,0,0,967,4,0.9928
y:label=9,0,0,0,2,4,2,0,3,3,995,0.9861
Precision,0.9939,0.9973,0.9922,0.9911,0.9938,0.9954,0.9958,0.9922,0.9887,0.9822,
F-Measures,0.9963,0.9968,0.9931,0.9925,0.9902,0.9920,0.9936,0.9922,0.9907,0.9841,
,,,,,,,,,,,
Accuracy,0.9923,,,,,,,,,,
Avg.Precision,0.9922,,,,,,,,,,
Avg.Recall,0.9922,,,,,,,,,,
Avg.F-Measures,0.9922,,,,,,,,,,
