,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,Recall
y:label=0,975,0,0,1,0,0,2,0,2,0,0.9948
y:label=1,0,1131,2,0,0,0,1,1,0,0,0.9964
y:label=2,1,2,1013,2,3,0,0,6,5,0,0.9815
y:label=3,1,0,1,995,0,4,0,6,3,0,0.9851
y:label=4,0,0,1,0,971,0,1,0,3,6,0.9887
y:label=5,2,0,1,6,0,878,1,0,3,1,0.9843
y:label=6,8,3,0,0,4,5,935,0,3,0,0.9759
y:label=7,0,3,8,1,0,1,0,1010,3,2,0.9824
y:label=8,2,0,1,3,1,1,0,3,957,6,0.9825
y:label=9,2,4,1,3,3,5,0,7,4,980,0.9712
Precision,0.9838,0.9895,0.9854,0.9841,0.9887,0.9821,0.9946,0.9777,0.9735,0.9849,
F-Measures,0.9892,0.9929,0.9834,0.9845,0.9887,0.9831,0.9851,0.9800,0.9779,0.9780,
,,,,,,,,,,,
Accuracy,0.9845,,,,,,,,,,
Avg.Precision,0.9844,,,,,,,,,,
Avg.Recall,0.9843,,,,,,,,,,
Avg.F-Measures,0.9843,,,,,,,,,,
